id_student,code_module,code_presentation,dropout,total_clicks,total_sessions,first_active_day,last_active_day,activity_span,avg_clicks_per_day,num_assessments_submitted,avg_score,min_score,num_low_scores,avg_submission_delay,gender,age_band,region,highest_education,imd_band,num_of_prev_attempts,studied_credits,disability
11391,AAA,2013J,0,401.0,8.0,-5.0,18.0,23.0,50.125,1.0,78.0,78.0,0.0,-1.0,M,55<=,East Anglian Region,HE Qualification,90-100%,0,240,N
28400,AAA,2013J,0,493.0,15.0,-10.0,16.0,26.0,32.86666666666667,0.0,0.0,0.0,0.0,0.0,F,35-55,Scotland,HE Qualification,20-30%,0,60,N
31604,AAA,2013J,0,453.0,17.0,-10.0,20.0,30.0,26.647058823529413,1.0,72.0,72.0,0.0,-2.0,F,35-55,South East Region,A Level or Equivalent,50-60%,0,60,N
32885,AAA,2013J,0,509.0,20.0,-10.0,20.0,30.0,25.45,0.0,0.0,0.0,0.0,0.0,F,0-35,West Midlands Region,Lower Than A Level,50-60%,0,60,N
38053,AAA,2013J,0,688.0,28.0,-10.0,20.0,30.0,24.571428571428573,1.0,79.0,79.0,0.0,0.0,M,35-55,Wales,A Level or Equivalent,80-90%,0,60,N
45462,AAA,2013J,0,444.0,11.0,-10.0,19.0,29.0,40.36363636363637,1.0,70.0,70.0,0.0,1.0,M,0-35,Scotland,HE Qualification,30-40%,0,60,N
45642,AAA,2013J,0,306.0,14.0,-9.0,18.0,27.0,21.857142857142858,1.0,72.0,72.0,0.0,-1.0,F,0-35,North Western Region,A Level or Equivalent,90-100%,0,120,N
52130,AAA,2013J,0,258.0,14.0,-4.0,19.0,23.0,18.428571428571427,1.0,72.0,72.0,0.0,0.0,F,0-35,East Anglian Region,A Level or Equivalent,70-80%,0,90,N
53025,AAA,2013J,0,500.0,16.0,-7.0,20.0,27.0,31.25,1.0,71.0,71.0,0.0,-10.0,M,55<=,North Region,Post Graduate Qualification,?,0,60,N
57506,AAA,2013J,0,474.0,20.0,-10.0,20.0,30.0,23.7,1.0,68.0,68.0,0.0,-1.0,M,35-55,South Region,Lower Than A Level,70-80%,0,60,N
58873,AAA,2013J,0,400.0,15.0,-10.0,19.0,29.0,26.666666666666668,1.0,73.0,73.0,0.0,0.0,F,0-35,East Anglian Region,A Level or Equivalent,20-30%,0,60,N
59185,AAA,2013J,0,455.0,15.0,-10.0,18.0,28.0,30.333333333333332,1.0,67.0,67.0,0.0,-1.0,M,35-55,East Anglian Region,Lower Than A Level,60-70%,0,60,N
62155,AAA,2013J,0,532.0,15.0,-10.0,19.0,29.0,35.46666666666667,1.0,73.0,73.0,0.0,-2.0,F,0-35,North Western Region,HE Qualification,50-60%,0,60,N
63400,AAA,2013J,0,586.0,22.0,-10.0,20.0,30.0,26.636363636363637,1.0,83.0,83.0,0.0,0.0,M,35-55,Scotland,Lower Than A Level,40-50%,0,60,N
65002,AAA,2013J,1,94.0,6.0,-10.0,17.0,27.0,15.666666666666666,1.0,66.0,66.0,0.0,-2.0,F,0-35,East Anglian Region,A Level or Equivalent,70-80%,0,60,N
70464,AAA,2013J,0,404.0,12.0,-10.0,20.0,30.0,33.666666666666664,1.0,59.0,59.0,0.0,0.0,F,35-55,West Midlands Region,A Level or Equivalent,60-70%,0,60,N
71361,AAA,2013J,0,875.0,26.0,-10.0,20.0,30.0,33.65384615384615,1.0,82.0,82.0,0.0,0.0,M,35-55,Ireland,HE Qualification,?,0,60,N
74372,AAA,2013J,0,27.0,3.0,-5.0,18.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,M,35-55,East Anglian Region,A Level or Equivalent,10-20,0,150,N
75091,AAA,2013J,0,883.0,22.0,-10.0,20.0,30.0,40.13636363636363,1.0,67.0,67.0,0.0,-1.0,M,35-55,South West Region,A Level or Equivalent,30-40%,0,60,N
77367,AAA,2013J,0,272.0,21.0,-10.0,18.0,28.0,12.952380952380953,1.0,73.0,73.0,0.0,-1.0,M,0-35,East Midlands Region,A Level or Equivalent,30-40%,0,60,N
91265,AAA,2013J,0,281.0,13.0,-8.0,20.0,28.0,21.615384615384617,0.0,0.0,0.0,0.0,0.0,M,0-35,North Western Region,HE Qualification,0-10%,0,60,N
94961,AAA,2013J,1,234.0,13.0,-10.0,17.0,27.0,18.0,1.0,74.0,74.0,0.0,-2.0,M,35-55,South Region,Lower Than A Level,70-80%,0,60,N
98094,AAA,2013J,0,1032.0,25.0,-10.0,20.0,30.0,41.28,1.0,62.0,62.0,0.0,-1.0,M,35-55,Wales,Lower Than A Level,70-80%,0,60,N
100893,AAA,2013J,0,118.0,11.0,-9.0,20.0,29.0,10.727272727272727,1.0,63.0,63.0,0.0,-2.0,M,0-35,Yorkshire Region,A Level or Equivalent,20-30%,0,60,N
101781,AAA,2013J,0,1308.0,23.0,-10.0,20.0,30.0,56.869565217391305,1.0,84.0,84.0,0.0,-3.0,M,35-55,South Region,Lower Than A Level,80-90%,0,60,N
102806,AAA,2013J,0,456.0,25.0,-10.0,20.0,30.0,18.24,1.0,80.0,80.0,0.0,0.0,M,0-35,North Western Region,A Level or Equivalent,30-40%,0,60,N
102952,AAA,2013J,0,356.0,12.0,-3.0,19.0,22.0,29.666666666666668,1.0,76.0,76.0,0.0,0.0,M,0-35,London Region,HE Qualification,60-70%,0,60,N
104476,AAA,2013J,0,1128.0,27.0,-10.0,20.0,30.0,41.77777777777778,0.0,0.0,0.0,0.0,0.0,M,35-55,Ireland,Post Graduate Qualification,?,0,60,N
106247,AAA,2013J,1,47.0,3.0,12.0,16.0,4.0,15.666666666666666,0.0,0.0,0.0,0.0,0.0,M,35-55,South Region,HE Qualification,80-90%,0,60,N
106577,AAA,2013J,0,296.0,11.0,-10.0,17.0,27.0,26.90909090909091,1.0,57.0,57.0,0.0,-1.0,M,0-35,East Midlands Region,Lower Than A Level,20-30%,0,60,N
110175,AAA,2013J,0,194.0,11.0,-10.0,18.0,28.0,17.636363636363637,1.0,66.0,66.0,0.0,-1.0,M,35-55,East Anglian Region,HE Qualification,80-90%,0,60,N
