feature,coefficient,abs_coefficient
highest_education_No Formal quals,0.6489073046304384,0.6489073046304384
imd_band_?,-0.4251438705219657,0.4251438705219657
disability_Y,0.4219513052216266,0.4219513052216266
studied_credits,0.3056187600620439,0.3056187600620439
highest_education_Lower Than A Level,0.273288665282558,0.273288665282558
imd_band_90-100%,-0.25508294192587794,0.25508294192587794
highest_education_Post Graduate Qualification,0.2507952334794951,0.2507952334794951
total_sessions,-0.23580778253006507,0.23580778253006507
min_score,-0.21501409178656516,0.21501409178656516
imd_band_50-60%,-0.20744009649581124,0.20744009649581124
age_band_55<=,0.20242359158753823,0.20242359158753823
imd_band_80-90%,-0.19896741337136267,0.19896741337136267
region_Ireland,0.18793453290606432,0.18793453290606432
imd_band_70-80%,-0.17316870780122656,0.17316870780122656
gender_M,0.16008306419870572,0.16008306419870572
region_North Region,0.15845819104808775,0.15845819104808775
region_East Midlands Region,0.1500935973200905,0.1500935973200905
region_West Midlands Region,0.1285286864910366,0.1285286864910366
activity_span,0.11219571093714686,0.11219571093714686
region_Scotland,0.10401454769385123,0.10401454769385123
avg_score,-0.10293795566828025,0.10293795566828025
imd_band_30-40%,-0.09702001140505703,0.09702001140505703
region_South Region,0.09198230964512705,0.09198230964512705
imd_band_10-20,-0.08967425104503755,0.08967425104503755
imd_band_60-70%,-0.0893038712943995,0.0893038712943995
region_Yorkshire Region,0.08026476102387192,0.08026476102387192
imd_band_40-50%,-0.0764746578364559,0.0764746578364559
imd_band_20-30%,0.07223697447504464,0.07223697447504464
age_band_35-55,0.06472662827771872,0.06472662827771872
num_low_scores,0.05675171386889152,0.05675171386889152
highest_education_HE Qualification,0.05105834854282479,0.05105834854282479
region_London Region,-0.05004355355777655,0.05004355355777655
avg_submission_delay,0.04168572686150355,0.04168572686150355
region_Wales,0.04107798433862162,0.04107798433862162
region_North Western Region,0.03622359898253295,0.03622359898253295
total_clicks,-0.035773574148232054,0.035773574148232054
avg_clicks_per_day,-0.030782517640909245,0.030782517640909245
num_assessments_submitted,0.01633525626596108,0.01633525626596108
region_South East Region,-0.013622972916743324,0.013622972916743324
region_South West Region,-0.012875841593767746,0.012875841593767746
num_of_prev_attempts,0.005160074920490141,0.005160074920490141
