feature,importance
studied_credits,0.11016944352173422
total_clicks,0.10531509075404469
avg_clicks_per_day,0.09636804394116844
min_score,0.09025714252851515
avg_score,0.08471204997489322
avg_submission_delay,0.07605548721544808
total_sessions,0.07369561374054244
activity_span,0.07283951361505457
num_assessments_submitted,0.02206049946162271
highest_education_Lower Than A Level,0.021883754735821964
disability_Y,0.020045075367405737
gender_M,0.018249384267243395
num_of_prev_attempts,0.01707912186873401
age_band_35-55,0.01370182018203448
imd_band_20-30%,0.010190642050705856
highest_education_HE Qualification,0.00869826130328013
region_Scotland,0.008518235188109985
region_Wales,0.00812054833333256
imd_band_50-60%,0.007893274621480597
imd_band_70-80%,0.007799922897217795
imd_band_10-20,0.007687811359296166
imd_band_30-40%,0.007544692861902767
region_London Region,0.007316059116441588
region_East Midlands Region,0.007282555891635528
num_low_scores,0.0071511713902453625
region_South Region,0.006916259901159686
imd_band_40-50%,0.006861500587032963
region_Ireland,0.006820736122438594
imd_band_80-90%,0.006773255985428673
region_South West Region,0.006755279244980789
region_West Midlands Region,0.006659943889148535
imd_band_60-70%,0.006620618918610731
region_North Western Region,0.006607555552805317
imd_band_90-100%,0.006560725588293805
region_South East Region,0.006210544345068006
region_Yorkshire Region,0.006131918045999315
region_North Region,0.005744125858538418
imd_band_?,0.005362438794992158
highest_education_No Formal quals,0.002407427162874605
highest_education_Post Graduate Qualification,0.0018415686896025164
age_band_55<=,0.0010908851251144797
