model,threshold,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives,students_flagged
Random Forest,0.2,0.19992602182356206,0.9854147675478578,0.3324108241082411,1081,4326,16,162,5407
Random Forest,0.3,0.22625057365764112,0.8988149498632635,0.3615032080659945,986,3372,111,1116,4358
Random Forest,0.4,0.2799406748238784,0.6882406563354604,0.39799683711122824,755,1942,342,2546,2697
Random Forest,0.5,0.3241461953265428,0.49316317228805834,0.39117859725235,541,1128,556,3360,1669
Random Forest,0.6,0.3888213851761847,0.2917046490428441,0.3333333333333333,320,503,777,3985,823
SVM,0.2,0.30451127819548873,0.5907019143117593,0.4018604651162791,648,1480,449,3008,2128
SVM,0.3,0.35909090909090907,0.3600729261622607,0.35958124715521167,395,705,702,3783,1100
SVM,0.4,0.45365853658536587,0.08477666362807658,0.14285714285714285,93,112,1004,4376,205
SVM,0.5,0.5,0.0027347310847766638,0.005439709882139619,3,3,1094,4485,6
SVM,0.6,0.0,0.0,0.0,0,0,1097,4488,0
